city,year,cityLat,cityLon,climate_cluster
平凉,2010,35.3337086,107.3630027,1
平凉,2011,35.3337086,107.3630027,1
平凉,2012,35.3337086,107.3630027,1
平凉,2013,35.3337086,107.3630027,1
平凉,2014,35.3337086,107.3630027,1
平凉,2015,35.3337086,107.3630027,1
平凉,2016,35.3337086,107.3630027,1
平凉,2017,35.3337086,107.3630027,1
平凉,2018,35.3337086,107.3630027,1
平凉,2019,35.3337086,107.3630027,1
平凉,2020,35.3337086,107.3630027,1
平凉,2021,35.3337086,107.3630027,1
平凉,2022,35.3337086,107.3630027,1
平凉,2023,35.3337086,107.3630027,1
平凉,2024,35.3337086,107.3630027,1
开封,2010,34.5584914,114.3565607,0
开封,2011,34.5584914,114.3565607,0
开封,2012,34.5584914,114.3565607,0
开封,2013,34.5584914,114.3565607,0
开封,2014,34.5584914,114.3565607,0
开封,2015,34.5584914,114.3565607,0
开封,2016,34.5584914,114.3565607,0
开封,2017,34.5584914,114.3565607,0
开封,2018,34.5584914,114.3565607,0
开封,2019,34.5584914,114.3565607,0
开封,2020,34.5584914,114.3565607,0
开封,2021,34.5584914,114.3565607,0
开封,2022,34.5584914,114.3565607,0
开封,2023,34.5584914,114.3565607,0
开封,2024,34.5584914,114.3565607,0
新乡,2010,35.3055859,113.8534842,0
新乡,2011,35.3055859,113.8534842,2
新乡,2012,35.3055859,113.8534842,2
新乡,2013,35.3055859,113.8534842,0
新乡,2014,35.3055859,113.8534842,0
新乡,2015,35.3055859,113.8534842,0
新乡,2016,35.3055859,113.8534842,0
新乡,2017,35.3055859,113.8534842,0
新乡,2018,35.3055859,113.8534842,0
新乡,2019,35.3055859,113.8534842,0
新乡,2020,35.3055859,113.8534842,0
新乡,2021,35.3055859,113.8534842,0
新乡,2022,35.3055859,113.8534842,0
新乡,2023,35.3055859,113.8534842,0
新乡,2024,35.3055859,113.8534842,0
洛阳,2010,34.6763995,112.3349829,0
洛阳,2011,34.6763995,112.3349829,0
洛阳,2012,34.6763995,112.3349829,0
洛阳,2013,34.6763995,112.3349829,0
洛阳,2014,34.6763995,112.3349829,0
洛阳,2015,34.6763995,112.3349829,0
洛阳,2016,34.6763995,112.3349829,0
洛阳,2017,34.6763995,112.3349829,0
洛阳,2018,34.6763995,112.3349829,0
洛阳,2019,34.6763995,112.3349829,0
洛阳,2020,34.6763995,112.3349829,0
洛阳,2021,34.6763995,112.3349829,0
洛阳,2022,34.6763995,112.3349829,0
洛阳,2023,34.6763995,112.3349829,0
洛阳,2024,34.6763995,112.3349829,0
许昌,2010,34.2364125,113.7860125,2
许昌,2011,34.2364125,113.7860125,2
许昌,2012,34.2364125,113.7860125,2
许昌,2013,34.2364125,113.7860125,0
许昌,2014,34.2364125,113.7860125,0
许昌,2015,34.2364125,113.7860125,0
许昌,2016,34.2364125,113.7860125,0
许昌,2017,34.2364125,113.7860125,0
许昌,2018,34.2364125,113.7860125,0
许昌,2019,34.2364125,113.7860125,0
许昌,2020,34.2364125,113.7860125,0
许昌,2021,34.2364125,113.7860125,0
许昌,2022,34.2364125,113.7860125,0
许昌,2023,34.2364125,113.7860125,0
许昌,2024,34.2364125,113.7860125,0
运城,2010,34.9956703,111.0200098,0
运城,2011,34.9956703,111.0200098,0
运城,2012,34.9956703,111.0200098,1
运城,2013,34.9956703,111.0200098,0
运城,2014,34.9956703,111.0200098,0
运城,2015,34.9956703,111.0200098,0
运城,2016,34.9956703,111.0200098,0
运城,2017,34.9956703,111.0200098,0
运城,2018,34.9956703,111.0200098,0
运城,2019,34.9956703,111.0200098,0
运城,2020,34.9956703,111.0200098,1
运城,2021,34.9956703,111.0200098,0
运城,2022,34.9956703,111.0200098,0
运城,2023,34.9956703,111.0200098,0
运城,2024,34.9956703,111.0200098,0
郑州,2010,34.7519343,113.6317052,0
郑州,2011,34.7519343,113.6317052,0
郑州,2012,34.7519343,113.6317052,0
郑州,2013,34.7519343,113.6317052,0
郑州,2014,34.7519343,113.6317052,2
郑州,2015,34.7519343,113.6317052,2
郑州,2016,34.7519343,113.6317052,0
郑州,2017,34.7519343,113.6317052,2
郑州,2018,34.7519343,113.6317052,2
郑州,2019,34.7519343,113.6317052,2
郑州,2020,34.7519343,113.6317052,2
郑州,2021,34.7519343,113.6317052,0
郑州,2022,34.7519343,113.6317052,2
郑州,2023,34.7519343,113.6317052,2
郑州,2024,34.7519343,113.6317052,2
长治,2010,36.250577,113.122217,1
长治,2011,36.250577,113.122217,1
长治,2012,36.250577,113.122217,1
长治,2013,36.250577,113.122217,1
长治,2014,36.250577,113.122217,1
长治,2015,36.250577,113.122217,1
长治,2016,36.250577,113.122217,1
长治,2017,36.250577,113.122217,1
长治,2018,36.250577,113.122217,1
长治,2019,36.250577,113.122217,1
长治,2020,36.250577,113.122217,1
长治,2021,36.250577,113.122217,1
长治,2022,36.250577,113.122217,1
长治,2023,36.250577,113.122217,1
长治,2024,36.250577,113.122217,1
驻马店,2010,33.2804528,114.1296158,2
驻马店,2011,33.2804528,114.1296158,2
